รหัสชนิด,ชื่อวิทยาศาสตร์ที่ค้น,ชื่อที่พบ,ไฟล์,ผู้ถ่าย,สัญญาอนุญาต,ลิงก์สัญญาอนุญาต,ที่มา
7-31170-001-120,Cuphea hyssopifolia,Cuphea hyssopifolia,img/plants/120.jpg,johnlerond,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/610574652
7-31170-001-121,Orthosiphon aristatus,Orthosiphon aristatus,img/plants/121.jpg,Scott O'Donnell,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/74413733
7-31170-001-122,Amaranthus lividus,Amaranthus blitum,img/plants/122.jpg,TonyT,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/295539268
7-31170-001-123,Cleome gynandra,Cleome gynandra,img/plants/123.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/28460977
7-31170-001-124,Euphorbia hirta,Euphorbia hirta,img/plants/124.jpg,Jung,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/71118726
7-31170-001-125,Zea mays,Zea mays,img/plants/125.jpg,Ken,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/12293878
7-31170-001-126,Musa sapientum,Musa × paradisiaca,img/plants/126.jpg,Mark Rosenstein,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/548958
7-31170-001-127,Acacia insuavis,Senegalia insuavis,img/plants/127.jpg,officerjames,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/601652640
7-31170-001-128,Cyperus rotundus,Cyperus rotundus,img/plants/128.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/60471960
7-31170-001-129,Cymbopogon nardus,Cymbopogon nardus,img/plants/129.jpg,Simone Chetty,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/126610149
7-31170-001-130,Tradescantia virginiana,Tradescantia virginiana,img/plants/130.jpg,Joanne Muis Redwood,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/21373805
7-31170-001-131,Murdannia loriformis,Murdannia loriformis,img/plants/131.jpg,Ben,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/73085174
7-31170-001-132,Acanthus ebracteatus,Acanthus ebracteatus,img/plants/132.jpg,Steven Kurniawidjaja,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/12092846
7-31170-001-133,Sansevieria cylindrica,Sansevieria cylindrica,img/plants/133.jpg,Martin Reith,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/70512537
7-31170-001-134,Costus speciosus,Hellenia speciosa,img/plants/134.jpg,vivianjen,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/215394630
7-31170-001-135,Barleria lupulina,Barleria lupulina,img/plants/135.jpg,Mohd Abdul Muin Md Akil,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/13108409
